sentence,label_id
NSAIDs used concomitantly with lithium,2
Patient is taking omeprazole and amlodipine,0
Drug interaction between sotalol and amiodarone,2
Prescribing omeprazole to a patient already on amlodipine,0
Drug interaction between lisinopril and metformin,0
Concurrent use of digoxin and quinidine in the same patient,2
Co-administration of methotrexate with trimethoprim,2
metformin was added to ongoing glipizide therapy,0
Drug interaction between digoxin and verapamil,1
Co-administration of warfarin with rifampicin,2
Patient is taking vitamin C and aspirin,0
Drug interaction between simvastatin and erythromycin,1
Co-administration of azithromycin with pimozide,2
The patient received metformin alongside glipizide,0
Prescribing amlodipine to a patient already on lisinopril,0
Co-administration of losartan with ibuprofen,0
Co-administration of fluoxetine with tramadol,1
Concurrent use of simvastatin and diltiazem in the same patient,1
Concurrent use of cyclosporine and statins in the same patient,1
Concurrent use of itraconazole and simvastatin in the same patient,2
Prescribing digoxin to a patient already on quinidine,2
Concurrent use of theophylline and ciprofloxacin in the same patient,2
Simultaneous administration of aspirin and warfarin,1
paracetamol used concomitantly with aspirin,0
Drug interaction between itraconazole and simvastatin,2
Simultaneous administration of valproate and carbamazepine,2
Prescribing NSAIDs to a patient already on methotrexate,1
Patient is taking SSRIs and MAOIs,2
Patient is taking fluconazole and warfarin,1
Concurrent use of carbamazepine and valproate in the same patient,2
Concurrent use of amlodipine and metformin in the same patient,0
Co-administration of verapamil with digoxin,1
Drug interaction between ciprofloxacin and antacids,1
methotrexate was added to ongoing trimethoprim therapy,2
The patient received losartan alongside ibuprofen,0
Concurrent use of ibuprofen and losartan in the same patient,0
warfarin used concomitantly with fluconazole,1
The patient received omeprazole alongside amlodipine,0
Combined therapy with antacids and ciprofloxacin,1
Drug interaction between cetirizine and paracetamol,0
Combined therapy with linezolid and SSRIs,2
Simultaneous administration of carbamazepine and valproate,2
Drug interaction between lisinopril and amlodipine,0
Simultaneous administration of metoprolol and atorvastatin,0
amlodipine used concomitantly with lisinopril,0
aspirin was added to ongoing warfarin therapy,1
The patient received potassium alongside lisinopril,1
Drug interaction between clarithromycin and cisapride,2
Simultaneous administration of lisinopril and metformin,0
Patient is taking carbamazepine and oral contraceptives,1
The patient received alcohol alongside metformin,1
Prescribing rifampicin to a patient already on warfarin,2
Patient is taking metformin and lisinopril,0
Co-administration of warfarin with fluconazole,1
Prescribing fluconazole to a patient already on warfarin,1
amlodipine used concomitantly with metformin,0
Co-administration of clopidogrel with omeprazole,1
Concurrent use of azithromycin and pimozide in the same patient,2
quinidine was added to ongoing digoxin therapy,2
Co-administration of pethidine with MAOIs,2
Drug interaction between pethidine and MAOIs,2
Simultaneous administration of ciprofloxacin and theophylline,2
aspirin used concomitantly with warfarin,1
Patient is taking sotalol and amiodarone,2
Concurrent use of amoxicillin and metformin in the same patient,0
Simultaneous administration of oral contraceptives and carbamazepine,1
Co-administration of atenolol with omeprazole,0
